,week,count
175,2023-05-08/2023-05-14,570
176,2023-05-15/2023-05-21,578
177,2023-05-22/2023-05-28,554
178,2023-05-29/2023-06-04,580
179,2023-06-05/2023-06-11,674
180,2023-06-12/2023-06-18,817
181,2023-06-19/2023-06-25,668
182,2023-06-26/2023-07-02,821
183,2023-07-03/2023-07-09,575
184,2023-07-10/2023-07-16,509
185,2023-07-17/2023-07-23,532
186,2023-07-24/2023-07-30,500
187,2023-07-31/2023-08-06,553
188,2023-08-07/2023-08-13,448
189,2023-08-14/2023-08-20,449
190,2023-08-21/2023-08-27,485
191,2023-08-28/2023-09-03,412
192,2023-09-04/2023-09-10,370
193,2023-09-11/2023-09-17,497
194,2023-09-18/2023-09-24,406
195,2023-09-25/2023-10-01,478
196,2023-10-02/2023-10-08,565
197,2023-10-09/2023-10-15,406
198,2023-10-16/2023-10-22,449
199,2023-10-23/2023-10-29,417
200,2023-10-30/2023-11-05,460
201,2023-11-06/2023-11-12,338
202,2023-11-13/2023-11-19,328
203,2023-11-20/2023-11-26,414
204,2023-11-27/2023-12-03,733
205,2023-12-04/2023-12-10,747
206,2023-12-11/2023-12-17,628
207,2023-12-18/2023-12-24,560
208,2023-12-25/2023-12-31,409
209,2024-01-01/2024-01-07,540
210,2024-01-08/2024-01-14,638
211,2024-01-15/2024-01-21,572
212,2024-01-22/2024-01-28,744
213,2024-01-29/2024-02-04,908
214,2024-02-05/2024-02-11,916
215,2024-02-12/2024-02-18,706
216,2024-02-19/2024-02-25,768
217,2024-02-26/2024-03-03,1083
218,2024-03-04/2024-03-10,1332
219,2024-03-11/2024-03-17,1336
220,2024-03-18/2024-03-24,1038
221,2024-03-25/2024-03-31,999
222,2024-04-01/2024-04-07,1294
223,2024-04-08/2024-04-14,1223
224,2024-04-15/2024-04-21,1170
225,2024-04-22/2024-04-28,895
226,2024-04-29/2024-05-05,881
227,2024-05-06/2024-05-12,859
228,2024-05-13/2024-05-19,853
229,2024-05-20/2024-05-26,783
230,2024-05-27/2024-06-02,752
231,2024-06-03/2024-06-09,825
232,2024-06-10/2024-06-16,871
233,2024-06-17/2024-06-23,686
234,2024-06-24/2024-06-30,673
235,2024-07-01/2024-07-07,543
236,2024-07-08/2024-07-14,581
237,2024-07-15/2024-07-21,583
238,2024-07-22/2024-07-28,527
239,2024-07-29/2024-08-04,449
240,2024-08-05/2024-08-11,516
241,2024-08-12/2024-08-18,481
242,2024-08-19/2024-08-25,531
243,2024-08-26/2024-09-01,505
244,2024-09-02/2024-09-08,463
245,2024-09-09/2024-09-15,497
246,2024-09-16/2024-09-22,472
247,2024-09-23/2024-09-29,430
248,2024-09-30/2024-10-06,413
249,2024-10-07/2024-10-13,338
250,2024-10-14/2024-10-20,322
251,2024-10-21/2024-10-27,390
252,2024-10-28/2024-11-03,354
253,2024-11-04/2024-11-10,284
254,2024-11-11/2024-11-17,310
255,2024-11-18/2024-11-24,690
256,2024-11-25/2024-12-01,475
257,2024-12-02/2024-12-08,675
258,2024-12-09/2024-12-15,983
259,2024-12-16/2024-12-22,949
260,2024-12-23/2024-12-29,509
261,2024-12-30/2025-01-05,725
262,2025-01-06/2025-01-12,996
263,2025-01-13/2025-01-19,748
264,2025-01-20/2025-01-26,736
265,2025-01-27/2025-02-02,751
266,2025-02-03/2025-02-09,818
267,2025-02-10/2025-02-16,737
268,2025-02-17/2025-02-23,967
269,2025-02-24/2025-03-02,1072
270,2025-03-03/2025-03-09,1131
271,2025-03-10/2025-03-16,914
272,2025-03-17/2025-03-23,889
273,2025-03-24/2025-03-30,872
274,2025-03-31/2025-04-06,841
275,2025-04-07/2025-04-13,865
276,2025-04-14/2025-04-20,864
277,2025-04-21/2025-04-27,858
278,2025-04-28/2025-05-04,846
279,2025-05-05/2025-05-11,779
280,2025-05-12/2025-05-18,1123
281,2025-05-19/2025-05-25,886
282,2025-05-26/2025-06-01,849
283,2025-06-02/2025-06-08,938
284,2025-06-09/2025-06-15,972
285,2025-06-16/2025-06-22,804
286,2025-06-23/2025-06-29,877
287,2025-06-30/2025-07-06,603
288,2025-07-07/2025-07-13,602
289,2025-07-14/2025-07-20,544
290,2025-07-21/2025-07-27,572
291,2025-07-28/2025-08-03,617
292,2025-08-04/2025-08-10,510
293,2025-08-11/2025-08-17,543
294,2025-08-18/2025-08-24,488
295,2025-08-25/2025-08-31,541
296,2025-09-01/2025-09-07,462
297,2025-09-08/2025-09-14,598
298,2025-09-15/2025-09-21,494
299,2025-09-22/2025-09-28,536
300,2025-09-29/2025-10-05,560
301,2025-10-06/2025-10-12,462
302,2025-10-13/2025-10-19,458
303,2025-10-20/2025-10-26,553
304,2025-10-27/2025-11-02,431
305,2025-11-03/2025-11-09,429
306,2025-11-10/2025-11-16,448
307,2025-11-17/2025-11-23,410
308,2025-11-24/2025-11-30,497
309,2025-12-01/2025-12-07,728
310,2025-12-08/2025-12-14,685
311,2025-12-15/2025-12-21,696
312,2025-12-22/2025-12-28,474
