,week,count
176,2013-05-13/2013-05-19,384
177,2013-05-20/2013-05-26,481
178,2013-05-27/2013-06-02,305
179,2013-06-03/2013-06-09,460
180,2013-06-10/2013-06-16,533
181,2013-06-17/2013-06-23,307
182,2013-06-24/2013-06-30,466
183,2013-07-01/2013-07-07,326
184,2013-07-08/2013-07-14,241
185,2013-07-15/2013-07-21,264
186,2013-07-22/2013-07-28,235
187,2013-07-29/2013-08-04,283
188,2013-08-05/2013-08-11,303
189,2013-08-12/2013-08-18,242
190,2013-08-19/2013-08-25,223
191,2013-08-26/2013-09-01,214
192,2013-09-02/2013-09-08,158
193,2013-09-09/2013-09-15,224
194,2013-09-16/2013-09-22,233
195,2013-09-23/2013-09-29,227
196,2013-09-30/2013-10-06,193
197,2013-10-07/2013-10-13,314
198,2013-10-14/2013-10-20,160
199,2013-10-21/2013-10-27,242
200,2013-10-28/2013-11-03,186
201,2013-11-04/2013-11-10,169
202,2013-11-11/2013-11-17,166
203,2013-11-18/2013-11-24,186
204,2013-11-25/2013-12-01,305
205,2013-12-02/2013-12-08,279
206,2013-12-09/2013-12-15,471
207,2013-12-16/2013-12-22,313
208,2013-12-23/2013-12-29,412
209,2013-12-30/2014-01-05,342
210,2014-01-06/2014-01-12,958
211,2014-01-13/2014-01-19,959
212,2014-01-20/2014-01-26,473
213,2014-01-27/2014-02-02,1097
214,2014-02-03/2014-02-09,783
215,2014-02-10/2014-02-16,633
216,2014-02-17/2014-02-23,1672
217,2014-02-24/2014-03-02,1572
218,2014-03-03/2014-03-09,1942
219,2014-03-10/2014-03-16,1432
220,2014-03-17/2014-03-23,1664
221,2014-03-24/2014-03-30,667
222,2014-03-31/2014-04-06,1376
223,2014-04-07/2014-04-13,676
224,2014-04-14/2014-04-20,533
225,2014-04-21/2014-04-27,816
226,2014-04-28/2014-05-04,471
227,2014-05-05/2014-05-11,341
228,2014-05-12/2014-05-18,550
229,2014-05-19/2014-05-25,296
230,2014-05-26/2014-06-01,420
231,2014-06-02/2014-06-08,419
232,2014-06-09/2014-06-15,561
233,2014-06-16/2014-06-22,401
234,2014-06-23/2014-06-29,999
235,2014-06-30/2014-07-06,1174
236,2014-07-07/2014-07-13,1054
237,2014-07-14/2014-07-20,698
238,2014-07-21/2014-07-27,250
239,2014-07-28/2014-08-03,324
240,2014-08-04/2014-08-10,335
241,2014-08-11/2014-08-17,425
242,2014-08-18/2014-08-24,240
243,2014-08-25/2014-08-31,312
244,2014-09-01/2014-09-07,316
245,2014-09-08/2014-09-14,368
246,2014-09-15/2014-09-21,255
247,2014-09-22/2014-09-28,320
248,2014-09-29/2014-10-05,247
249,2014-10-06/2014-10-12,259
250,2014-10-13/2014-10-19,262
251,2014-10-20/2014-10-26,364
252,2014-10-27/2014-11-02,291
253,2014-11-03/2014-11-09,288
254,2014-11-10/2014-11-16,275
255,2014-11-17/2014-11-23,335
256,2014-11-24/2014-11-30,293
257,2014-12-01/2014-12-07,294
258,2014-12-08/2014-12-14,530
259,2014-12-15/2014-12-21,495
260,2014-12-22/2014-12-28,544
261,2014-12-29/2015-01-04,466
262,2015-01-05/2015-01-11,688
