,week,count
767,2024-09-09/2024-09-15,218
768,2024-09-16/2024-09-22,196
769,2024-09-23/2024-09-29,180
770,2024-09-30/2024-10-06,173
771,2024-10-07/2024-10-13,179
772,2024-10-14/2024-10-20,140
773,2024-10-21/2024-10-27,168
774,2024-10-28/2024-11-03,191
775,2024-11-04/2024-11-10,177
776,2024-11-11/2024-11-17,172
777,2024-11-18/2024-11-24,334
778,2024-11-25/2024-12-01,290
779,2024-12-02/2024-12-08,373
780,2024-12-09/2024-12-15,484
781,2024-12-16/2024-12-22,518
782,2024-12-23/2024-12-29,237
783,2024-12-30/2025-01-05,354
784,2025-01-06/2025-01-12,480
785,2025-01-13/2025-01-19,472
786,2025-01-20/2025-01-26,366
787,2025-01-27/2025-02-02,423
788,2025-02-03/2025-02-09,407
789,2025-02-10/2025-02-16,306
790,2025-02-17/2025-02-23,437
791,2025-02-24/2025-03-02,564
792,2025-03-03/2025-03-09,591
793,2025-03-10/2025-03-16,463
794,2025-03-17/2025-03-23,400
795,2025-03-24/2025-03-30,351
796,2025-03-31/2025-04-06,342
797,2025-04-07/2025-04-13,371
798,2025-04-14/2025-04-20,353
799,2025-04-21/2025-04-27,354
800,2025-04-28/2025-05-04,374
801,2025-05-05/2025-05-11,302
802,2025-05-12/2025-05-18,387
803,2025-05-19/2025-05-25,313
804,2025-05-26/2025-06-01,271
805,2025-06-02/2025-06-08,337
806,2025-06-09/2025-06-15,420
807,2025-06-16/2025-06-22,455
808,2025-06-23/2025-06-29,479
809,2025-06-30/2025-07-06,346
810,2025-07-07/2025-07-13,268
811,2025-07-14/2025-07-20,208
812,2025-07-21/2025-07-27,195
813,2025-07-28/2025-08-03,218
814,2025-08-04/2025-08-10,213
815,2025-08-11/2025-08-17,216
816,2025-08-18/2025-08-24,185
817,2025-08-25/2025-08-31,218
818,2025-09-01/2025-09-07,141
819,2025-09-08/2025-09-14,234
820,2025-09-15/2025-09-21,199
821,2025-09-22/2025-09-28,191
822,2025-09-29/2025-10-05,224
823,2025-10-06/2025-10-12,192
824,2025-10-13/2025-10-19,170
825,2025-10-20/2025-10-26,205
826,2025-10-27/2025-11-02,181
827,2025-11-03/2025-11-09,173
828,2025-11-10/2025-11-16,180
829,2025-11-17/2025-11-23,162
830,2025-11-24/2025-11-30,267
831,2025-12-01/2025-12-07,383
832,2025-12-08/2025-12-14,419
833,2025-12-15/2025-12-21,260
834,2025-12-22/2025-12-28,171
